Numero de qubits: 50 
Dimension max: 64 
p= 6 
After sweep 1 energy=-12.62531567480727  maxlinkdim=7 maxerr=7.59E-16 time=0.024
After sweep 1 energy=-12.625315674807236  maxlinkdim=7 maxerr=7.59E-16 time=0.024
After sweep 1 energy=-12.625315674807295  maxlinkdim=7 maxerr=7.59E-16 time=0.024
After sweep 1 energy=-12.625315674807167  maxlinkdim=7 maxerr=7.59E-16 time=0.024
After sweep 1 energy=-12.625315674807165  maxlinkdim=7 maxerr=7.59E-16 time=0.024
After sweep 1 energy=-12.625315674807169  maxlinkdim=7 maxerr=7.59E-16 time=0.024
After sweep 1 energy=-12.62530741370114  maxlinkdim=64 maxerr=9.66E-16 time=0.281
After sweep 1 energy=-12.625315674768164  maxlinkdim=28 maxerr=9.94E-16 time=0.142
After sweep 1 energy=-12.625315674807107  maxlinkdim=8 maxerr=9.86E-16 time=0.024
After sweep 1 energy=-12.62531567480705  maxlinkdim=7 maxerr=7.78E-16 time=0.027
After sweep 1 energy=-12.625315674807041  maxlinkdim=7 maxerr=7.60E-16 time=0.022
After sweep 1 energy=-12.62531567480705  maxlinkdim=7 maxerr=7.59E-16 time=0.029
After sweep 1 energy=-12.625315674807043  maxlinkdim=7 maxerr=7.59E-16 time=0.022
After sweep 1 energy=-12.625315674807032  maxlinkdim=7 maxerr=7.59E-16 time=0.025
After sweep 1 energy=-12.625315674807032  maxlinkdim=7 maxerr=7.59E-16 time=0.022
After sweep 1 energy=-12.625315674807037  maxlinkdim=7 maxerr=7.59E-16 time=0.025
After sweep 1 energy=-12.625311077466778  maxlinkdim=64 maxerr=9.26E-16 time=0.139
After sweep 1 energy=-12.62531567470884  maxlinkdim=26 maxerr=1.00E-15 time=0.123
After sweep 1 energy=-12.62531567480714  maxlinkdim=7 maxerr=9.82E-16 time=0.025
After sweep 1 energy=-12.625315674807226  maxlinkdim=7 maxerr=7.98E-16 time=0.024
After sweep 1 energy=-12.62531567480723  maxlinkdim=7 maxerr=7.91E-16 time=0.024
After sweep 1 energy=-12.625315674807172  maxlinkdim=7 maxerr=7.60E-16 time=0.024
After sweep 1 energy=-12.625315674807192  maxlinkdim=7 maxerr=7.60E-16 time=0.024
After sweep 1 energy=-12.625315674807199  maxlinkdim=7 maxerr=7.59E-16 time=0.024
After sweep 1 energy=-12.625315674807176  maxlinkdim=7 maxerr=7.59E-16 time=0.024
After sweep 1 energy=-12.625315674807156  maxlinkdim=7 maxerr=7.59E-16 time=0.024
After sweep 1 energy=-12.625310920569158  maxlinkdim=64 maxerr=9.78E-16 time=0.139
After sweep 1 energy=-12.625315674789018  maxlinkdim=22 maxerr=9.96E-16 time=0.130
After sweep 1 energy=-12.62531567480713  maxlinkdim=7 maxerr=9.97E-16 time=0.026
After sweep 1 energy=-12.62531567480717  maxlinkdim=7 maxerr=8.05E-16 time=0.024
After sweep 1 energy=-12.625315674807181  maxlinkdim=7 maxerr=7.78E-16 time=0.024
After sweep 1 energy=-12.625315674807233  maxlinkdim=7 maxerr=7.60E-16 time=0.024
After sweep 1 energy=-12.62531567480721  maxlinkdim=7 maxerr=7.59E-16 time=0.024
After sweep 1 energy=-12.625315674807165  maxlinkdim=7 maxerr=7.59E-16 time=0.024
After sweep 1 energy=-12.625315674807156  maxlinkdim=7 maxerr=7.59E-16 time=0.024
After sweep 1 energy=-12.625315674807181  maxlinkdim=7 maxerr=7.59E-16 time=0.024
After sweep 1 energy=-12.625309985411862  maxlinkdim=64 maxerr=9.58E-16 time=0.295
After sweep 1 energy=-12.625315674696193  maxlinkdim=27 maxerr=9.98E-16 time=0.124
After sweep 1 energy=-12.625315674807084  maxlinkdim=7 maxerr=9.85E-16 time=0.028
After sweep 1 energy=-12.625315674807183  maxlinkdim=7 maxerr=7.95E-16 time=0.022
After sweep 1 energy=-12.625315674807231  maxlinkdim=7 maxerr=7.92E-16 time=0.030
After sweep 1 energy=-12.625315674807172  maxlinkdim=7 maxerr=7.61E-16 time=0.022
After sweep 1 energy=-12.625315674807212  maxlinkdim=7 maxerr=7.60E-16 time=0.026
After sweep 1 energy=-12.625315674807174  maxlinkdim=7 maxerr=7.60E-16 time=0.022
After sweep 1 energy=-12.625315674807197  maxlinkdim=7 maxerr=7.60E-16 time=0.025
After sweep 1 energy=-12.62531567480718  maxlinkdim=7 maxerr=7.59E-16 time=0.025
After sweep 1 energy=-12.625309670786146  maxlinkdim=64 maxerr=9.46E-16 time=0.136
After sweep 1 energy=-12.62531567471818  maxlinkdim=20 maxerr=9.91E-16 time=0.100
After sweep 1 energy=-12.62531567476548  maxlinkdim=6 maxerr=9.48E-16 time=0.023
After sweep 1 energy=-12.62531567476545  maxlinkdim=6 maxerr=8.64E-16 time=0.020
After sweep 1 energy=-12.625315674765499  maxlinkdim=6 maxerr=8.65E-16 time=0.022
After sweep 1 energy=-12.625315674765458  maxlinkdim=6 maxerr=8.65E-16 time=0.022
After sweep 1 energy=-12.625315674765448  maxlinkdim=6 maxerr=8.65E-16 time=0.022
After sweep 1 energy=-12.62531567476545  maxlinkdim=6 maxerr=8.65E-16 time=0.022
After sweep 1 energy=-12.62531567476549  maxlinkdim=6 maxerr=8.65E-16 time=0.023
After sweep 1 energy=-12.625315674765464  maxlinkdim=6 maxerr=8.65E-16 time=0.022
After sweep 1 energy=-12.62531389551407  maxlinkdim=64 maxerr=9.77E-16 time=0.136
After sweep 1 energy=-12.625315674785298  maxlinkdim=21 maxerr=1.00E-15 time=0.108
After sweep 1 energy=-12.625315674807215  maxlinkdim=7 maxerr=9.96E-16 time=0.025
After sweep 1 energy=-12.625315674807194  maxlinkdim=7 maxerr=7.78E-16 time=0.024
After sweep 1 energy=-12.625315674807258  maxlinkdim=7 maxerr=7.60E-16 time=0.024
After sweep 1 energy=-12.625315674807213  maxlinkdim=7 maxerr=7.60E-16 time=0.024
After sweep 1 energy=-12.625315674807146  maxlinkdim=7 maxerr=7.60E-16 time=0.024
After sweep 1 energy=-12.62531567480723  maxlinkdim=7 maxerr=7.59E-16 time=0.024
After sweep 1 energy=-12.625315674807156  maxlinkdim=7 maxerr=7.59E-16 time=0.024
After sweep 1 energy=-12.625315674807307  maxlinkdim=7 maxerr=7.59E-16 time=0.028
After sweep 1 energy=-12.625301915857182  maxlinkdim=64 maxerr=8.58E-16 time=0.295
After sweep 1 energy=-12.625315674687128  maxlinkdim=22 maxerr=9.99E-16 time=0.124
After sweep 1 energy=-12.625315674807167  maxlinkdim=8 maxerr=9.94E-16 time=0.024
After sweep 1 energy=-12.625315674807226  maxlinkdim=7 maxerr=7.91E-16 time=0.024
After sweep 1 energy=-12.625315674807196  maxlinkdim=7 maxerr=7.61E-16 time=0.030
After sweep 1 energy=-12.625315674807267  maxlinkdim=7 maxerr=7.59E-16 time=0.022
After sweep 1 energy=-12.62531567480715  maxlinkdim=7 maxerr=7.59E-16 time=0.030
